genes	logFC	AveExpr	t	P.Value	adj.P.Val
Mid1	3.09265636698914	3.48984047158162	34.2986233423288	1.25331263538566e-14	7.96521272005142e-13
Ralgps2	2.1492996275488	4.72288934308302	34.2064238924251	1.26082202741671e-14	7.98023150169423e-13
Fgfr3	4.6247723268772	2.42163227160113	34.3790521461885	1.30466720663331e-14	8.22417657449703e-13
Stx3	1.84775484713489	5.23494597207349	34.0511686151942	1.33174059909674e-14	8.327137689594e-13
P2rx7	4.56962899067661	2.75614946710296	33.9275362439723	1.54783442359325e-14	9.44971197112622e-13
Gfpt2	6.26828773055749	1.55239563025413	34.0916684862433	1.57215177382573e-14	9.47583677048315e-13
Nfia	3.92443128394856	2.21420426837791	33.8004668495937	1.57601139619623e-14	9.47583677048315e-13
Aldh1a1	11.8128892048635	2.93999066416313	34.5219889592025	1.58443689511109e-14	9.48643356466708e-13
Gulp1	2.55695821537987	4.71280798766126	33.6239815451068	1.59607934269713e-14	9.51938552584787e-13
Zic1	11.7515929167	-0.491065381976335	34.4448679585579	1.62951243309788e-14	9.68155145595739e-13
Crb2	12.3231774386131	-0.140464678846644	34.4284168202397	1.65950399594827e-14	9.82211010120988e-13
Akr1c14	6.50649593952223	1.54659572432222	33.8928353203701	1.7149573584583e-14	1.01117276644916e-12
Sema3e	3.80284029279718	5.15455385628087	33.5550813803197	1.72423830341837e-14	1.01279406708745e-12
Atp1b1	2.95196144136653	4.48609063623718	33.4254681199492	1.74855217111049e-14	1.02319994405322e-12
Ilvbl	2.06099611282737	5.28669168450295	33.3281549101286	1.77079482434201e-14	1.0323201256042e-12
Lrp2	8.85581409964458	2.93911495187034	33.9433814900287	1.83199148104699e-14	1.05608520061694e-12
Nfe2l3	4.34031676712505	2.5494141549742	33.4134046174175	1.87035953927919e-14	1.07240201044786e-12
Jak2	2.13797685624047	6.4654497357717	33.0288061855282	1.99624628022875e-14	1.13391176071455e-12
Card19	2.19542582866906	5.52962044241055	33.0103558059865	2.01334575952363e-14	1.13945082820923e-12
Add3	2.21253695241778	6.53686499102323	32.9422251977495	2.06942854042962e-14	1.16693194096153e-12
Fndc3c1	10.7600811788941	-0.935393534966928	33.7435196725498	2.08672853563628e-14	1.16835066696176e-12
Sh3tc2	5.16543268937214	2.73475288786474	33.236495019617	2.08701318597026e-14	1.16835066696176e-12
Ak4	4.65543788603675	3.56514849156418	33.1045682022725	2.14542293994188e-14	1.19015076641563e-12
Ptpn13	3.07890238802939	3.48399538303506	32.9166399260342	2.14897926482476e-14	1.19015076641563e-12
Vdr	2.74076230953811	3.3255635315408	32.7558963348648	2.26288978095377e-14	1.24877693356762e-12
F11r	1.59956703009596	6.79268640096802	32.6635352916448	2.29306800289976e-14	1.26094345819031e-12
Klf4	1.55960979168147	6.22904613102532	32.6322833858617	2.3214031201456e-14	1.27201407010946e-12
Wnt11	4.38614214898589	2.29735922978843	32.8091218476606	2.38176289851111e-14	1.29583808381598e-12
Tgfb3	1.64737796300626	5.89424251220769	32.5534844588786	2.39771251287232e-14	1.29583808381598e-12
Hr	3.62084401528373	2.90915233826811	32.5538012680728	2.54416189257413e-14	1.36347671578161e-12
Hs3st1	3.33950114032138	3.01166374313427	32.4032762319542	2.66984885105678e-14	1.41301522639377e-12
Cemip	6.49971884593463	2.1973531489284	32.5438478933937	2.92162451920715e-14	1.5152385090082e-12
Scarb2	2.0978119198306	6.86345235936162	32.0342812923333	2.97842069202375e-14	1.53954565570708e-12
Plscr2	2.15734876269939	4.67120102825991	31.7881043821042	3.2992507532213e-14	1.67194383758832e-12
Sort1	4.09272594255926	3.43708200722738	31.9484630256246	3.32753622510358e-14	1.67884566818627e-12
Efemp1	1.40171220503909	7.52880153883405	31.741204933635	3.33452289805489e-14	1.67884566818627e-12
Pkhd1l1	12.4033413173317	3.62523385351004	32.5461633555576	3.47680075525078e-14	1.73297924420143e-12
Bhlhb9	1.92047061562629	4.61267167784865	31.6359456592986	3.49870026225392e-14	1.73297924420143e-12
Slc16a3	3.65228096455393	5.26454864779167	31.5929798449299	3.77368663687981e-14	1.82870495869048e-12
Cacna1g	4.13492827705713	2.63795323480914	31.5582470825254	3.91716958621934e-14	1.88644561408395e-12
Tom1l1	2.41793754351223	3.6777016625215	31.3570236485846	3.97039029184681e-14	1.90615610698664e-12
Ehd3	8.76250660123577	0.903784729217443	31.9586398899172	4.02725540207724e-14	1.92748918271641e-12
Sema4f	5.87108027000862	1.40097561956979	31.6375483910136	4.11715654756417e-14	1.96445374101777e-12
Slc7a2	3.93153000800935	3.70624161910602	31.3654189708624	4.20349735301954e-14	1.99338328603285e-12
Igf2bp1	1.50397255500215	5.96599327893311	31.1653979663154	4.2403948157055e-14	1.99865660811992e-12
Spry1	2.42084955102966	3.02409934416707	31.0947832740572	4.43251402901326e-14	2.07033117614183e-12
Fstl1	1.57925429819409	8.62424387864145	31.0135163939728	4.52268264400798e-14	2.09352954509348e-12
2010111I01Rik	1.63393099621668	6.26589686452249	30.7791601721677	4.99705006306112e-14	2.27909574493791e-12
Rasl11a	4.48760537858252	1.49930371617044	30.8547296286817	5.35460161654723e-14	2.41845833995708e-12
Ftl1	2.14404026286352	8.13904631986985	30.6087639875891	5.41231458277312e-14	2.43271774594385e-12
1190002N15Rik	2.21933999939548	6.0064938892071	30.4538088409385	5.79350074517589e-14	2.56685188729836e-12
Creg1	2.8231275867576	3.42160953565957	30.3080008897796	6.27982825703452e-14	2.76651411312029e-12
Osmr	2.15492827980765	4.25603415109621	30.1393542998494	6.62743503923778e-14	2.88684368408596e-12
Slc39a8	3.25422062384166	3.10672963801278	30.1012320708706	6.98609390666548e-14	3.01764228999057e-12
Ephb2	4.53648706475816	2.41934526723531	30.2326630040143	7.00827630506253e-14	3.01881501840569e-12
Sulf2	7.81162566443364	1.72484627474285	30.5202983660099	7.1324607888099e-14	3.06379693773061e-12
Bcam	2.28151489608528	3.75251896562517	29.943139997947	7.23929879084784e-14	3.08267469430262e-12
Adamts20	9.49567958703118	-1.52334206058462	30.6063403219126	7.25592483020867e-14	3.08267469430262e-12
Car12	4.51391528850834	1.98212314536539	29.9715418925568	7.84250431278221e-14	3.31372518741999e-12
Pcsk5	11.2270544035329	-0.76013762857418	30.5186839549114	7.87711435547238e-14	3.31930468234539e-12
Ddit3	1.99876581832435	4.81555579396919	29.7077671610687	7.98075883075822e-14	3.34480073482615e-12
Sh3bp5	1.41565455694484	6.30103467730341	29.606931966284	8.29601959136953e-14	3.45564156576377e-12
Slc2a3	7.18420649124124	2.12904990036374	30.0406420240754	8.57414744237222e-14	3.54558145036976e-12
Hoxb9	9.57312190935907	0.846102669604982	30.1084348592848	9.01454404837588e-14	3.67864564626749e-12
Kcnab1	1.87978180681152	4.76353685901988	29.3810100872109	9.20639572218051e-14	3.7410073619134e-12
Xist	11.1893172209308	2.60302854660196	30.0938454961058	9.45622601307185e-14	3.80872658035016e-12
Mgst1	8.61692645880318	1.23783298700194	29.9028965837634	9.57928201861247e-14	3.83839602745797e-12
Papss2	6.45371420585023	2.0189449524952	29.699315177138	9.66736130404856e-14	3.86370545726497e-12
Mir99ahg	4.21086134366884	2.26500370906721	29.3821473123465	1.00210929371969e-13	3.9947837577664e-12
Parm1	11.0910156375583	-0.814911270791607	29.94188567929	1.00811013990452e-13	4.00840101012806e-12
Tagln	2.30787819039498	4.74403960722671	29.1234853329458	1.04149369542223e-13	4.12001090176341e-12
Csdc2	4.89611397673453	1.68128986312183	29.2790161123965	1.08492849087734e-13	4.27004723554185e-12
Col12a1	3.52678369903407	5.70100865079735	29.0409259626432	1.1303254702894e-13	4.40261947718039e-12
Tuft1	1.61325930953385	5.43030086935544	28.8554845928526	1.16240479132816e-13	4.49511498731317e-12
Hoxb7	10.1981336236339	-1.25300962035401	29.5616324378781	1.16560463872629e-13	4.49627640117625e-12
Anxa8	1.72720432196082	6.07300352644717	28.7645538821901	1.21257849404184e-13	4.65098813095466e-12
P3h2	3.53855546644753	2.39726332113466	28.8309027546686	1.24352658290456e-13	4.72631537281889e-12
Slit3	8.56464604477829	2.20793184175144	29.2649047917203	1.26818717848321e-13	4.80825882071861e-12
Arhgap44	6.59409307359345	0.787838485385602	28.9811226504003	1.3395913229959e-13	5.05426828362467e-12
Fkbp14	2.59624728983999	3.49837443795919	28.5737060519152	1.34702758215141e-13	5.05771349065907e-12
Peg3	11.2774498726989	-0.818009621081352	29.2521082633696	1.37359270007415e-13	5.13260289157829e-12
Tnfrsf21	6.37680621800747	1.44168459134113	28.7252769627248	1.49059818046096e-13	5.50350142485906e-12
Pcp4l1	10.4860813085045	-0.350351771377288	28.9880249146901	1.51744266299283e-13	5.57606241114452e-12
Mical2	1.68401035856963	8.15187794324458	28.1577721195151	1.60146476882852e-13	5.85470446917917e-12
Apela	9.15004102267972	-1.74549374992872	28.7833763859557	1.60459753621019e-13	5.85470446917917e-12
Tle4	1.87391546112692	4.62932446255587	28.1503252823773	1.61046817725277e-13	5.86170194534958e-12
Rab27b	2.41787801586072	3.91337738143541	28.1696125265577	1.61407540508433e-13	5.86170194534958e-12
Dlx4	5.83061662440927	1.24156679543988	28.4878452961961	1.62204598545908e-13	5.87688483563409e-12
Akap5	5.0257273215076	2.01154058301258	28.3406732591423	1.67151113946632e-13	6.0050830610354e-12
Pdpn	1.47147155978413	6.30977870257902	28.0606685660929	1.67291925089785e-13	6.0050830610354e-12
Foxp2	8.9971257172933	-1.874217777724	28.6736647219923	1.67896869612128e-13	6.00993330657328e-12
Nxn	1.59697174550497	6.5997309306061	27.9909287635881	1.72949274747028e-13	6.1653434563268e-12
Grem1	2.59763595929181	3.44090396263683	28.0162426214365	1.74258837420731e-13	6.18359677776495e-12
Samd5	10.8755440608048	-0.990984352761969	28.6899864189875	1.75381530222158e-13	6.18901866783258e-12
Hoxc11	9.71823789087401	-1.47306861731532	28.6214335077328	1.75608964586725e-13	6.18901866783258e-12
