genes	logFC	AveExpr	t	P.Value	adj.P.Val
Ptprv	3.81701773720069	1.2353243123792	22.6507890445871	2.91541434730639e-12	6.14246509643698e-11
Snx10	1.27745126637214	5.80718518098243	22.4952086505933	2.96580826082675e-12	6.21497144603249e-11
Pnpo	1.85397125248624	4.15227367229303	22.4859346346757	2.99408558797125e-12	6.26524630204238e-11
Pcdh11x	9.69736240581518	-1.50950811069094	22.9859319136711	3.05476808277156e-12	6.37554356117612e-11
Osmr	1.71341919372142	4.25603415109621	22.4332801548729	3.08127046484714e-12	6.42221251322373e-11
Ugt1a7c	7.8378650838179	-2.41505382625797	22.8544020811991	3.10297980870521e-12	6.45549460881157e-11
Krba1	1.96164024008992	3.84407252087801	22.4253199049345	3.10556456966108e-12	6.45549460881157e-11
Arl4d	3.10463814613771	2.81960252841417	22.4788061318307	3.11627123465246e-12	6.4641780821499e-11
Sema4a	3.79588623587224	1.87344751230824	22.5318680936136	3.11807906458253e-12	6.4641780821499e-11
Col8a2	9.26027856495737	1.64784276680263	22.9119367433176	3.14552210088227e-12	6.50368149578418e-11
Tshz3	8.21729683209266	-2.29497314668791	22.8420193618277	3.16636921395051e-12	6.53305688743767e-11
Mme	3.61742189939996	2.40291890885478	22.4895321824732	3.1681555293436e-12	6.53305688743767e-11
Smyd1	4.69723111241733	0.587551651247281	22.5639036340018	3.19935739031602e-12	6.58863679304521e-11
Fhl1	1.06219702682286	8.38565025937695	22.3579471350283	3.20949404168584e-12	6.60074590244327e-11
Pisd-ps2	1.89364145993665	3.76341076698633	22.3443618463045	3.25103470513147e-12	6.66849142493039e-11
Zfp618	7.39554635474532	-2.60191969876137	22.7274738509911	3.28169242215523e-12	6.71361535492891e-11
Zic4	7.58578461460179	-2.61217173181942	22.7293528841025	3.30151963627902e-12	6.74527865609733e-11
Hoxc4	8.68295169946289	-1.64390311723517	22.7916938807624	3.30853450595208e-12	6.75071639260512e-11
Fkbp14	2.12453471166777	3.49837443795919	22.3040405377642	3.3414523128566e-12	6.80892260387218e-11
Ston2	3.78824375940213	2.86800186924504	22.3808784301988	3.40062605661405e-12	6.92040790812521e-11
AI506816	1.11982487326896	7.80462286793014	22.2544229077174	3.40835418127792e-12	6.92254043772341e-11
Lgi2	8.7394991507824	-1.7542651259054	22.7415075423346	3.41060224054987e-12	6.92254043772341e-11
Tspan8	11.2403198103023	-0.206381122491998	22.8474833442125	3.43545098690987e-12	6.96386123581848e-11
Fzd4	3.06223603825892	2.93628057765726	22.3044144855735	3.4410210958984e-12	6.96604623160529e-11
Syt14	9.10376756278952	-1.52473501250905	22.7413207186678	3.4495721743815e-12	6.9706394309177e-11
Scnn1a	3.64442191754986	1.44350691173673	22.3418708900275	3.45472944372783e-12	6.9706394309177e-11
Lsr	6.01524850019943	1.36055312183678	22.5357039152082	3.46040124689734e-12	6.9706394309177e-11
Phldb2	1.91785856244202	8.45893612482995	22.2370750296596	3.46127062733387e-12	6.9706394309177e-11
Gca	6.11287258612772	0.59964181099488	22.5399977575058	3.46683728200802e-12	6.97279451778189e-11
Sox12	1.32634064297507	5.77751899673319	22.1616470871503	3.59900442435067e-12	7.21989154054409e-11
Fam84a	8.18589541217058	-2.32546252835311	22.5508938479278	3.73535292600807e-12	7.47914694767975e-11
Nfkbiz	1.45698582340053	4.75425785515893	22.0971509167798	3.73917608014789e-12	7.47914694767975e-11
Hhex	6.77064848864618	0.0577876280210745	22.4499216733315	3.75500310501626e-12	7.48442585468987e-11
Pgm2	2.06433406505975	5.8077375265106	22.0988352795904	3.76158418221923e-12	7.48791860252549e-11
Myo5b	8.04499330833429	-2.04619913231523	22.5142806619967	3.79643412182326e-12	7.53793904316432e-11
Sp8	8.49067143546247	-1.34696201864659	22.5167666268837	3.84835152700572e-12	7.63125155105854e-11
Sv2c	8.6114359532365	-1.98002185695329	22.4540001784671	4.00579901399067e-12	7.91311150445265e-11
Foxa2	10.3766592087728	-0.233773532625999	22.4915979623956	4.12378294684635e-12	8.13581452375908e-11
Cep126	4.22462337715669	1.11343581294352	22.026312313123	4.27155154985516e-12	8.38467720045619e-11
Wt1	11.8721654502839	1.33515342586552	22.4590061465738	4.35112856443728e-12	8.49785272654016e-11
Aass	7.29831941928027	-2.67889539722403	22.2244320841677	4.36996249558612e-12	8.52390043006969e-11
Sash1	5.32457218811125	0.7096976000926	22.0530656962885	4.43709501499469e-12	8.63312828074311e-11
Gm14291	7.13672443484703	-2.85592218447272	22.1506134263687	4.53400454002695e-12	8.78860105027473e-11
Vgll2	7.53141922149953	-2.72679988065105	22.1695964434621	4.55185803233174e-12	8.81219257270516e-11
Sh3glb2	1.39026806359789	6.33849811034281	21.7511202290538	4.58462307244728e-12	8.85377859686112e-11
Trib1	1.28324500531544	5.61859241348655	21.7505254419905	4.58475798883051e-12	8.85377859686112e-11
Slco2a1	1.36634270471766	6.12941120459276	21.7310244465564	4.63933572150355e-12	8.94803221807905e-11
Gnai1	10.8147113291324	0.157866237671908	22.2838247378774	4.70170643700661e-12	9.03461731334095e-11
Casp12	2.96756213656167	1.88961446344914	21.7600804583244	4.71956721060445e-12	9.04651776697691e-11
Sorbs2	3.44600118612285	1.76088788868191	21.7859310937781	4.74332024527267e-12	9.08082309178312e-11
Tspan13	8.52600828569302	-1.68144175930575	22.1221436019608	4.84470250279732e-12	9.24068901732816e-11
Spock2	10.1345979183872	0.189695418612907	22.193189345779	4.87218995667829e-12	9.27349725367577e-11
