genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Nr2f1	-5.29084696478866	3.05768867831825	-48.8201306211285	1.34988656940235e-18	1.72652079311505e-16	32.3535436503133
Spon2	-2.38886281198599	5.54603262218189	-48.4427992017992	1.52390019601722e-18	1.8937483547014e-16	32.8659433696425
Pdgfrb	-3.39042045555535	4.51333132770488	-48.3464399916913	1.57205977312354e-18	1.90816371531538e-16	32.8917660954521
F2rl1	-2.9976333810036	3.91587096270814	-48.3594769351722	1.56545042543134e-18	1.90816371531538e-16	32.8791846892896
Tpx2	-1.4208716681	8.74725491011056	-47.8349671077975	1.85627134660213e-18	2.21874020954933e-16	32.5300475189832
Slc38a4	-6.05112573427605	2.94713317805763	-47.3358538957283	2.18679457405619e-18	2.55528577914715e-16	31.5827137612247
Adam12	-4.59507192950883	3.24637617843174	-47.2898842327611	2.22023947066299e-18	2.56088249186839e-16	32.195417402775
Itgb7	-3.23621863834793	3.88457901765912	-47.2425962110234	2.25521160822275e-18	2.577525792814e-16	32.5098107993788
Manbal	-1.98916967428722	5.85496838376123	-47.0063721314363	2.43890225998972e-18	2.7672704048492e-16	32.3653078193006
Emp1	-1.53474411650645	9.71650182958434	-46.8208379856268	2.59431405743751e-18	2.92242946124867e-16	32.157947059667
Klra4	-4.86995457944011	3.34124070235511	-46.74472064292	2.66108922168048e-18	2.97623821664807e-16	32.0521761092767
Tmem171	-3.65186962553379	3.21910950307883	-46.5415928072629	2.84839125787568e-18	3.15644374844257e-16	32.1259451997295
Kcnn4	-3.16044874826231	4.58951822802281	-46.2253268440339	3.1684529049546e-18	3.45397834841734e-16	32.19123293528
Crlf1	-3.85440763933011	3.04566521564319	-45.8588433968277	3.58781545280428e-18	3.79629741851746e-16	31.8362200848545
Atp10a	-2.22087384608256	5.49966896105618	-45.7182827279597	3.76398216958103e-18	3.91944867090885e-16	31.9473263181056
S100a7a	-4.34048924457592	3.35449226981376	-45.7060271210729	3.77977231643401e-18	3.91944867090885e-16	31.8330276449553
Ctnnbl1	-1.76879630720691	6.44209223474095	-45.3150528510928	4.3223421384026e-18	4.39475540279921e-16	31.7361999556471
Blcap	-1.89115281433071	5.45246424101034	-45.2071473950894	4.48625381599787e-18	4.53198466134805e-16	31.7654947034855
Als2cl	-2.48033235699264	5.4538555575721	-45.1443842368784	4.58462198113357e-18	4.60166737055061e-16	31.7573334827617
Meis1	-2.89015973718006	3.53789182455293	-45.0091323822521	4.80448128720484e-18	4.79162853471677e-16	31.7502951743018
Gm3608	-5.34480034365138	2.98460427881645	-44.852092876388	5.07390387926637e-18	4.96544918384705e-16	31.1417321196833
Gfod1	-2.64591714441903	5.08622898077232	-44.7940434930265	5.17752282409216e-18	5.0042995296071e-16	31.6611754840793
Rpl3-ps1	-3.73538834369119	3.68908240796741	-44.7989308916389	5.16871262271432e-18	5.0042995296071e-16	31.6522227553687
Kcnab2	-2.96661067249602	3.30564603587566	-44.7131303616321	5.32572332266768e-18	5.04157973074792e-16	31.6223644623828
Gpr137b	-1.91645658020883	5.1178047078259	-44.7262629320999	5.30136634985824e-18	5.04157973074792e-16	31.6187883214213
Gpsm2	-1.55627086251304	6.45425458396252	-44.7340023638486	5.2870675140997e-18	5.04157973074792e-16	31.5223986271896
