genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gm5841	-4.90909247227776	-0.740884455535042	-16.8443381907375	1.75795801533161e-11	1.32083045125059e-10	16.3163691566044
Slc9a5	-0.983800032177522	5.10569881259347	-16.8319494259223	1.77739534486717e-11	1.33415418551918e-10	15.8901473333652
Tbc1d16	-1.07227151636822	3.62181189569513	-16.8255806180217	1.78747623836491e-11	1.33990046677212e-10	16.1659212453319
Tdp1	-0.726369544699983	5.31015384667429	-16.8129924625511	1.80758021056385e-11	1.35421487736884e-10	15.8260846528742
Katnal1	-0.924087046737466	4.41920197609208	-16.8123698092612	1.8085808239028e-11	1.35431652513965e-10	15.9890491659103
Ano1	-1.67054612555289	5.99816481291079	-23.4839514191819	1.81441750649063e-11	1.35759736298462e-10	16.2867439530422
Igfbp6	-0.82327314738092	5.92528936031129	-16.8084159537073	1.81494845104698e-11	1.35759736298462e-10	15.75611572958
Rftn2	-3.08164826140067	0.336057268288335	-16.8040854452972	1.82194995634291e-11	1.36172278837314e-10	16.6464842200021
Ubqln2	-0.651973682254803	7.19622423975372	-16.8002909101274	1.82810844935579e-11	1.3656737643136e-10	15.6540163666207
Ttf2	-0.704330231356962	6.13329450414357	-16.7813363412262	1.85920376020507e-11	1.38757924105295e-10	15.7106013488704
Ube2d3	-0.551266082550171	8.47891659052308	-16.7744671635236	1.87061079655348e-11	1.39542752989207e-10	15.5703249370959
Mboat7	-0.744099141298205	5.94316688958035	-16.7730187885515	1.87302544391999e-11	1.39656344766187e-10	15.7207400345524
Foxo3	-0.740034285543507	5.28353743768527	-16.7661741280298	1.88448126252721e-11	1.40443634500957e-10	15.7949976705493
Thoc7	-0.797830466864674	5.42876945046741	-16.7411568617827	1.92698838920574e-11	1.43270580238288e-10	15.7414313977291
Gsr	-0.604819736188809	7.0626148829456	-16.7295725365634	1.94701472227867e-11	1.44485101997343e-10	15.5947421987667
Frmd6	-0.650640982716117	7.02715608820531	-16.7289799084356	1.94804513966833e-11	1.44493087621633e-10	15.5960140764769
Cnn3	-0.547176596894182	8.72353462413103	-16.725100635904	1.95480442372583e-11	1.44857206184094e-10	15.5143026849748
Setd3	-0.667420063551754	6.41369200680243	-16.7215084995601	1.9610855747688e-11	1.45164891631832e-10	15.6276593362863
Acer3	-0.641763957590238	5.5904755131639	-16.7194646146816	1.96466902703512e-11	1.45313120573056e-10	15.7079227816481
Tmem170b	-1.19515785568211	4.01222356519168	-16.7131296525385	1.97582000798221e-11	1.45862280457263e-10	15.9833704534026
Mex3d	-0.641801437252959	6.03503502286553	-16.7100158503051	1.98132559082214e-11	1.46130928408352e-10	15.6461236805343
4930452B06Rik	-2.79178929460588	0.610931847915208	-16.7031712948479	1.99348485433846e-11	1.46958502115027e-10	16.58197407777
Spire2	-1.06731820557921	4.34110852117239	-16.7021335524458	1.99533528625658e-11	1.47025693704497e-10	15.8992684188692
Chd5	-2.26784710713116	1.47408270198014	-16.6819885766241	2.03161958355918e-11	1.49418034003615e-10	16.5201324579978
Nr1d2	-0.801024288551835	5.06855016911999	-16.6806354336785	2.03408175121642e-11	1.49528882913365e-10	15.7304527917406
Tesk2	-0.944719411248603	3.8066833498552	-16.6793183726576	2.03648130295377e-11	1.49635026943454e-10	15.9877509298096
Klhl7	-0.878051002522058	5.30997213237588	-16.6726953729713	2.04859331269189e-11	1.50454381285786e-10	15.7014692147173
Hax1	-0.601444931378353	5.82476620679477	-16.66226958667	2.06781477937361e-11	1.51723729219456e-10	15.6281857972293
Kif4	-0.530201824371036	6.92385133537241	-16.6610374007227	2.07009909792106e-11	1.51749118329813e-10	15.5356450349147
Sacm1l	-1.06763368926588	4.78770681719131	-16.6593999098119	2.07313894224864e-11	1.51900840232706e-10	15.7812268793498
Pik3ca	-0.997064306703709	6.41383284752524	-17.6850775773208	2.08558103476201e-11	1.52741009552402e-10	15.6712351884912
Snx18	-0.699522896510462	6.19098252183426	-16.6415626912729	2.10656028092329e-11	1.54061283879948e-10	15.5719416023332
Slc33a1	-0.823952452441355	4.78806749621228	-16.6277021323491	2.13292486601227e-11	1.55698543366061e-10	15.7494940087669
Ndst3	-1.89155834067229	2.19431950163289	-16.6231245472183	2.14170869242566e-11	1.56266890521906e-10	16.31808656583
Trim46	-1.1731279304833	3.45047747082363	-16.6149672829464	2.15745668792063e-11	1.57196169471667e-10	16.0150983373807
Dnajb2	-0.77901053940337	4.8152845474944	-16.6066329198496	2.17367343822355e-11	1.58178758943932e-10	15.721331740209
Tcf12	-0.778811884100307	7.36776370921686	-16.605577009217	2.17573720233127e-11	1.58233595513716e-10	15.4606358635179
Glb1l	-1.2887643570236	2.95890097953528	-16.5787540377898	2.22886511476865e-11	1.61871845858291e-10	16.0898214967431
Ubap2l	-0.496646622031459	8.44804678615986	-16.5768999269567	2.23258799723031e-11	1.62067050814243e-10	15.3842148078439
Adamts4	-1.96142753908741	1.76093338472821	-16.5738923304124	2.23864099932324e-11	1.62431143500478e-10	16.3529167695445
Elf2	-0.558681178224964	6.20149991159183	-16.5460776147482	2.29545164629657e-11	1.66245059563884e-10	15.4780381956727
Lactb	-1.01940157741275	3.62172842534773	-16.5395360398772	2.30903334762378e-11	1.66996970702509e-10	15.887328280627
Slco4a1	-10.0975565098185	-0.43839308876343	-17.7036768562976	2.37269077725764e-11	1.7128442688013e-10	15.1648851164608
Nenf	-1.14377981185785	3.97168481296372	-16.502887628094	2.38671559701682e-11	1.7205889879415e-10	15.7759568168046
Eps8l2	-0.749128053618779	4.51448190334542	-16.4925166324632	2.4091981091631e-11	1.73599742260819e-10	15.6555261706001
Vwa1	-3.09993187212719	0.0654306986216722	-16.4889802927074	2.41691551985377e-11	1.74036595517998e-10	16.3542408400891
Chpt1	-0.781068909083056	4.88426941783779	-16.4887204167701	2.41748368406978e-11	1.74036595517998e-10	15.5858182852993
Ssx2ip	-0.574442786779831	6.25048229174407	-16.4793143744012	2.43814362957928e-11	1.75362668589583e-10	15.4111985527232
Ube2e2	-0.794936310058597	4.10965395048918	-16.4718886787075	2.45458602850772e-11	1.76464224216593e-10	15.7163486292209
Smg5	-0.568245093565446	7.94352802490962	-16.469958731597	2.45887864596257e-11	1.7669170187463e-10	15.303093580987
Kif3c	-0.990262041840671	4.3499841957969	-16.4314181392783	2.5462885767892e-11	1.82136987370331e-10	15.6421801952867
Mtch1	-0.659736601741654	7.76796768567857	-16.4279815089146	2.55424124085720e-11	1.82622417120284e-10	15.2700298477664
Ndufb5	-0.722746523591952	5.52227945426859	-16.4197618290083	2.57336930055783e-11	1.83822155602803e-10	15.427445301833
Zmynd11	-0.637032941977848	6.83408096896028	-16.4148112435323	2.58496305890824e-11	1.84313987142009e-10	15.3089062850126
Fxr1	-0.519861511613008	7.83161234651818	-16.4126751881268	2.58998256830106e-11	1.84587833657069e-10	15.2513198790242
6430548M08Rik	-1.2348705731741	3.91096677176845	-16.4085384311251	2.59973292562421e-11	1.85198444719854e-10	15.7318856968701
Golim4	-0.776132533987316	7.36697772337276	-16.3939970216585	2.63431707415376e-11	1.87321238633513e-10	15.259086966557
Poc1b	-0.668875780171462	5.02539755587071	-16.3885218239668	2.6474649599072e-11	1.8808532823152e-10	15.4678391607739
Ccnd1	-0.550433471133102	8.51200741940248	-16.383447635905	2.65971199949594e-11	1.88869707429059e-10	15.1984074573622
Fut11	-0.82957575909953	4.17146566210227	-16.3798741884951	2.66837289076629e-11	1.89398833742604e-10	15.6156797244539
Ccser2	-1.6080445497141	5.59078841666483	-21.8760941465099	2.66963124817511e-11	1.89402293085301e-10	15.8703695564883
Aspa	-7.55074954150894	-1.6499367497733	-16.3605938639801	2.71562091644694e-11	1.92490684969335e-10	15.2664814666029
Nucb2	-0.825933639547154	4.85063793076414	-16.3589319506382	2.71973488559443e-11	1.92695062618269e-10	15.4743100416772
Vegfb	-0.936907797981836	4.90952180681719	-16.3549651971551	2.72958107991089e-11	1.93305203750542e-10	15.4511818249332
Plcb3	-0.585918050539259	7.38910615142928	-16.3533203425517	2.73367498131346e-11	1.93507607854458e-10	15.2169511552197
Xdh	-2.42454615149782	0.71108295695484	-16.3423782641243	2.76107508768951e-11	1.95094376006509e-10	16.2590322941684
Ctbp2	-0.721018612438162	5.82787975248992	-16.3378917683032	2.77239376655863e-11	1.95717500436316e-10	15.3161735106752
Nras	-0.605238326005108	7.57926338639958	-16.3325448988548	2.78594729994108e-11	1.96585681939961e-10	15.1881535248472
Cables2	-0.708964977022105	4.74094264649701	-16.3287238164489	2.79567621109581e-11	1.97094543508952e-10	15.454591159048
Zdhhc1	-1.11819660859107	3.57631192978459	-16.3254523627084	2.80403432344099e-11	1.9759482194617e-10	15.7141662553467
Syne3	-0.993643258407882	5.47392293239965	-16.6459690363933	2.84023871600681e-11	1.99876214899931e-10	15.3722498810182
Micu2	-0.781245352290395	5.60900709431188	-16.309331416276	2.84560976808462e-11	2.00164230676859e-10	15.3114618050365
Prcc	-0.75949186184347	5.86684303354881	-16.2999536277756	2.87009501406844e-11	2.0179590359355e-10	15.2751826433186
Fcgrt	-1.03403253567315	4.0295818682907	-16.2967408926003	2.87853469301971e-11	2.02298457016618e-10	15.5701254200011
Skida1	-1.35818500432448	2.45706377766132	-16.2917401488909	2.89172375811175e-11	2.02952086976754e-10	15.9401816216328
Ttyh3	-0.733390501175513	7.06822912736474	-16.2918550970887	2.89141987307977e-11	2.02952086976754e-10	15.1756784037758
Zmat3	-0.900344821197167	5.60627045115255	-16.2895830022659	2.89743282435912e-11	2.03261662920319e-10	15.2993089225558
Crtc3	-0.656625405248894	5.22793168653844	-16.2768549015179	2.93136294226497e-11	2.0536591029076e-10	15.3287213878101
Calm1	-0.481930621090006	9.05682389754801	-16.2720270027053	2.94434294582863e-11	2.06183013621578e-10	15.0705219456148
Dlst	-0.515201018375471	7.7735580309956	-16.2593876688087	2.97861370612999e-11	2.08396485301981e-10	15.1076863650124
Gm38158	-4.57320515771844	-0.703833034145091	-16.2578749137131	2.98274369187419e-11	2.08592231922135e-10	15.9193974313956
Hyi	-1.25233104924019	2.72044111026875	-16.2537519349671	2.99403071988992e-11	2.09201977339887e-10	15.8431641954972
Uqcrc1	-0.643375900773446	7.6527842273754	-16.2537139829456	2.99413482704488e-11	2.09201977339887e-10	15.106971645106
Gsta4	-0.876583557477427	4.48585920112526	-16.2501114144975	3.00403461608735e-11	2.09800062527635e-10	15.449293213394
Sucla2	-0.597519790681268	6.24351225373009	-16.248604265402	3.00818652208684e-11	2.09996364524457e-10	15.1883389875292
Ankrd29	-2.16883297339137	1.36221197451203	-16.2442688491829	3.02016371221652e-11	2.10738517851543e-10	16.1155986655005
Zdhhc3	-0.593962324242559	7.11934532697374	-16.2403938241984	3.03091179489806e-11	2.11112174753175e-10	15.1226086861606
Pdcd6ip	-0.633353788329405	8.21733843667977	-16.2206655989441	3.08626385068094e-11	2.14585787628606e-10	15.0517417284956
Ifit1	-2.88400680207589	1.93579639699571	-17.6022952738665	3.09736710153159e-11	2.15071281932513e-10	16.1111366669204
Stard9	-1.62424794247627	3.65890457628465	-17.3529597802331	3.13990690606461e-11	2.17741883003798e-10	15.6982173913039
Cacng7	-1.13069188695618	3.92139613947552	-16.2013748982553	3.14142548488977e-11	2.17744312715379e-10	15.507277317747
Gnai3	-0.666724966717318	8.15472654075635	-16.1596512678943	3.26434037432983e-11	2.25864081225172e-10	14.9958870672878
Parvb	-0.875936412634768	5.20557242067042	-16.1520940992866	3.28714341129598e-11	2.27277343553132e-10	15.2305541445164
