genes	logFC	AveExpr	t	P.Value	adj.P.Val
Src	-2.32292854564624	7.76971213034416	-52.9555996429399	3.3637737309507e-17	1.35689126299622e-14
Col18a1	-3.48285383936939	5.51628547643986	-52.9562956482698	3.39660574523732e-17	1.35689126299622e-14
Aqp1	-8.31963535192575	4.00010919096234	-53.3645958598211	3.50063420273815e-17	1.35689126299622e-14
2900097C17Rik	-2.41812940869599	7.38054450145524	-52.6759158703386	3.61007737058778e-17	1.35689126299622e-14
Rprd1b	-2.44159569248372	7.00689016346351	-52.2680326670872	4.00300417449e-17	1.4253889769733e-14
Sox9	-4.6214412645139	4.03196779816125	-52.3912863401555	4.00543587858124e-17	1.4253889769733e-14
Prrx1	-3.00667488481513	6.67378711036353	-51.3139313467959	5.13164270086398e-17	1.74676655239409e-14
Adgra2	-2.96483621166482	7.39505779275916	-50.8738736817105	5.75103020413187e-17	1.9159495943893e-14
Oaf	-4.30349801316907	4.98187163281176	-50.3252334751702	6.78320196540768e-17	2.21273700779903e-14
Slco3a1	-3.76081953912998	3.6959345370359	-49.9092423524308	7.49280693584687e-17	2.3464474200298e-14
Rasa3	-2.2871497055394	6.6636870794721	-48.5408717013494	1.06808244510942e-16	3.21616056260065e-14
H19	-3.72593406410506	5.02630847379173	-48.2913034785649	1.15961981447578e-16	3.25338690952257e-14
Sema7a	-6.17156870808944	3.4321066201016	-48.2594359782696	1.24493259592324e-16	3.41985168192387e-14
Apbb1ip	-6.1609745733623	2.89304262436948	-47.6865518221255	1.4582110442669e-16	3.80544475518852e-14
Gm2115	-3.35419691802328	4.34986545255986	-47.01773048543	1.64391486183459e-16	4.21974080436165e-14
Spon2	-3.05975245869949	5.54603262218189	-46.741746425812	1.77138831150585e-16	4.40260288596169e-14
Tti1	-2.18878516655845	5.94397173847085	-46.5455474469821	1.86342790265778e-16	4.50962448136112e-14
Mecom	-2.91658676185498	4.47448559036215	-46.5427036857059	1.87205001461536e-16	4.50962448136112e-14
Pear1	-3.44767349237548	5.92487883832415	-45.9320321928427	2.243845287922e-16	5.00937028391116e-14
Fam83d	-2.12882481842701	6.4055660482911	-45.7997386403764	2.3082556578171e-16	5.00937028391116e-14
Nr2f1	-5.31540390191813	3.05768867831825	-45.9539702365341	2.3237585423294e-16	5.00937028391116e-14
Ndrg3	-2.09561215363399	6.75004893494589	-45.7590826609753	2.33544533609347e-16	5.00937028391116e-14
Lrrk2	-4.39877414405366	4.33942646365715	-45.5200066430917	2.57391546042219e-16	5.37364910390541e-14
Pkp1	-2.43432949784944	5.9550140953716	-45.2013311165362	2.75054641245921e-16	5.66684943766924e-14
Hmga1-rs1	-4.62502617046372	4.02683258632171	-44.8730875762317	3.12850732437809e-16	6.1616497168057e-14
Nptxr	-2.79517001209899	5.08991048641037	-44.7083683705481	3.18746728229187e-16	6.1616497168057e-14
S100a4	-2.68158180533018	7.28959914283721	-44.351199706057	3.54229674449791e-16	6.60300981254146e-14
Slc38a4	-6.20404353880057	2.94713317805763	-44.3857299300716	3.78050969505698e-16	6.88814242471708e-14
Nes	-1.91927882765697	8.55538878149018	-44.1231180261843	3.78324338054457e-16	6.88814242471708e-14
Nr2f2	-2.03588743186882	6.59207125220698	-44.0559248485575	3.86103400049257e-16	6.94897360686353e-14
Adam12	-4.35070506280586	3.24637617843174	-43.6884789026864	4.43157681188424e-16	7.79658760904308e-14
Ahcy	-2.13478636265251	7.09877378287034	-42.8428785933253	5.59065787335272e-16	9.3252547897281e-14
Eml1	-2.1450570677772	5.96459242720195	-42.8325395313272	5.60868619411207e-16	9.3252547897281e-14
Tspan9	-1.94682968665979	8.38375680457891	-42.8033027260247	5.65780562667116e-16	9.3252547897281e-14
Man2a2	-2.25795954937812	6.49891345513585	-42.3702062956122	6.47774564246288e-16	1.05654730489254e-13
E2f1	-2.34505887813485	6.43126801046563	-42.2866530164218	6.65118817310118e-16	1.07365262282905e-13
Tmem171	-3.69356583283063	3.21910950307883	-42.0968781188648	7.15311100034683e-16	1.14289195962684e-13
Arhgef40	-2.26786925280965	6.10127248637102	-41.9612468776433	7.36598422153238e-16	1.14324097406912e-13
Klra4	-4.99492617500942	3.34124070235511	-42.0884803613618	7.38190161625816e-16	1.14324097406912e-13
Crlf1	-4.22477023518142	3.04566521564319	-42.0107891521461	7.42476436513079e-16	1.14324097406912e-13
Gm3608	-5.27355468428418	2.98460427881645	-42.08465962493	7.44734827915765e-16	1.14324097406912e-13
Rpn2	-1.94700870086898	9.36359541717121	-41.462372907792	8.62472759008286e-16	1.29017789950216e-13
Itgb7	-3.45380273582654	3.88457901765912	-41.4253307631107	8.8183822580906e-16	1.29725533890444e-13
F2rl1	-3.04587697326413	3.91587096270814	-41.3935048448795	8.86488193018105e-16	1.29725533890444e-13
Bcl2l1	-2.38359932393487	6.70611955528241	-41.2233186733888	9.32060944189e-16	1.3513157651955e-13
Dsn1	-1.97537107382601	6.37210307647677	-41.0720856282992	9.77575600376869e-16	1.40430080281661e-13
Cx3cl1	-2.41702181829231	4.83229224397768	-40.9607780318267	1.01447532066491e-15	1.44405950645192e-13
Kcnab2	-3.25627653080222	3.30564603587566	-40.8290769127758	1.06569828243636e-15	1.47311321144039e-13
Pdgfrb	-3.48186323019188	4.51333132770488	-40.8219650131385	1.07137289313277e-15	1.47311321144039e-13
Aar2	-2.28566858576359	5.97788154306637	-40.787586370714	1.07251824054288e-15	1.47311321144039e-13
S100a7a	-4.56554744760707	3.35449226981376	-40.7067833494735	1.13609135695352e-15	1.52707916516355e-13
Rasa4	-2.76991376187327	4.57422806180054	-40.5737849130338	1.15257817670714e-15	1.52941263482037e-13
Loxl1	-2.3363715473566	6.75703860735367	-39.9909112991874	1.39276849351903e-15	1.75870718318717e-13
Meis1	-3.01059117380318	3.53789182455293	-39.4763773876499	1.66019762754219e-15	2.06312495651235e-13
Ackr3	-5.37666648128571	3.09525649638033	-39.4273038682013	1.77150167668785e-15	2.15395886297247e-13
Layn	-3.40211948415295	3.46943165292673	-39.1851796329942	1.83944086972415e-15	2.21553577985699e-13
Phf19	-3.92446758663457	3.32760516937912	-38.7486054060426	2.15165048258474e-15	2.54820672756293e-13
Cplx2	-4.66277766807567	2.83009716219981	-38.5743265297942	2.32127531187607e-15	2.66873873954331e-13
Ngef	-3.78629600187434	3.78270368496665	-38.4861508167396	2.34813791003395e-15	2.66873873954331e-13
Phf20	-1.96617454276844	7.31095376951133	-38.4356982468671	2.35206249876726e-15	2.66873873954331e-13
Prkar2b	-2.41206608616709	6.19618295964481	-38.3539050977661	2.42198277406684e-15	2.72830260980853e-13
