genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Smtnl2	276829	2.67620049193869	-0.565020701492447	8.21797942363012	5.41763265663136e-07	1.44555978412053e-06	6.43046524951097
Trafd1	231712	0.370860143320395	4.99603691893859	8.19347811854489	5.42803030034491e-07	1.4480695993943e-06	5.03707722191302
Scaf11	72193	0.280246604496575	8.69075149657555	8.18974443622707	5.45943981773067e-07	1.45618294334869e-06	4.73644722701315
Atg13	51897	0.383029508119103	5.13030055283798	8.18684574036502	5.48395679402096e-07	1.46218826092498e-06	5.01260329029625
Tmx2	66958	0.356555973428613	4.9282873539037	8.1841850367224	5.50656276266059e-07	1.46741207282285e-06	5.02870430893727
Ranbp1	19385	0.317237807426237	8.75746785422395	8.17822670216728	5.55754233734408e-07	1.4804571106921e-06	4.71544075532705
Wdr45b	66840	0.279128344912268	6.75715917505253	8.17564596035397	5.57977699645306e-07	1.48610909573657e-06	4.80693780523491
Btbd8	100503185	0.82415107805201	2.48769409672193	8.16866462294779	5.64039549793076e-07	1.50115919538587e-06	5.61566398697207
Stk40	74178	0.365649942737547	5.19950321524665	8.16711013247348	5.65398705746063e-07	1.50450236766752e-06	4.96542724136666
Sf1	22668	0.25306037451716	8.53297645039339	8.16619864096677	5.66197262075978e-07	1.50611202361859e-06	4.70441475207202
Asl	109900	0.383207289230613	4.69062458590143	8.16145766178004	5.70369995690875e-07	1.51662555198633e-06	5.01867169166606
Rad50	19360	0.363323876593769	6.33293226647952	8.15436632048416	5.76671836932961e-07	1.5322778197269e-06	4.80364303448742
Cd74	16149	2.18724915747943	-1.04440831484265	8.15188074789764	5.78897974608688e-07	1.53762207985715e-06	6.39891400958938
Gpaa1	14731	0.364148257324116	6.23715900940665	8.15023809748346	5.80374128600267e-07	1.54126264042464e-06	4.80461283850763
Ivns1abp	117198	0.281936971763752	8.00838635631446	8.1491064965873	5.81393334112984e-07	1.54340804035882e-06	4.69674245672471
Smdt1	69029	0.488754568982372	6.03256848184367	8.37773332874725	5.83202253240246e-07	1.54764754920549e-06	4.87582294958407
BC039771	408057	3.69094510991311	-2.69256402112151	8.14083719066242	5.88898658182469e-07	1.56049597268018e-06	6.42936172137819
Rnf181	66510	0.324263704126829	6.43934070303567	8.13887086186711	5.90698269506785e-07	1.56498075900891e-06	4.77250349089407
Slc22a4	30805	1.25630448005372	0.916304699716111	8.13768054132602	5.91790475984068e-07	1.56748017695882e-06	6.0320945658552
Haus3	231123	0.321422962527381	5.70974981160103	8.13760887374639	5.91856303979728e-07	1.56748017695882e-06	4.83725316357688
Mtx2	53375	0.385941177778887	5.97760990800558	8.13184817376172	5.97172875048967e-07	1.58127393273481e-06	4.79703580051135
Ogdhl	239017	2.59442126958522	-1.81042608352684	8.12809233614144	6.00666172341018e-07	1.59023565582978e-06	6.43538104755451
Aatf	56321	0.334110837051107	6.25306939017257	8.127784560256	6.00953384901648e-07	1.59070770929204e-06	4.76139609610708
Ndufaf6	76947	0.564342661401422	3.00777632228075	8.12710360920811	6.01589353029e-07	1.59210257117985e-06	5.37365543109367
Psma7	26444	0.35048407945514	7.64544916601666	8.12683889899852	6.01836767713247e-07	1.59226864870964e-06	4.67618365971357
1700009N14Rik	75471	3.79141147815327	-3.21493777309398	8.12447589774969	6.04050121754051e-07	1.5977464828576e-06	6.40325689761872
Lypd1	72585	3.30575764566211	-2.4503993395196	8.12284685235055	6.05580983161576e-07	1.60150567446279e-06	6.40465787211862
Mrpl43	94067	0.412357958552287	5.83045137228494	8.11956739547765	6.08675168077042e-07	1.60823254430776e-06	4.79382905889766
Sfswap	231769	0.325245699667828	6.68868647817357	8.11491395160031	6.13094271695777e-07	1.61932277258382e-06	4.71249948417455
Ddah2	51793	0.57208487277071	5.40802639093476	8.68431640696539	6.13588124110094e-07	1.62009426256382e-06	4.97091498302959
Yipf3	28064	0.405377127526876	5.77804468077325	8.11246443322493	6.15433974347755e-07	1.62462111500512e-06	4.79420387205032
Susd1	634731	2.19600963129241	-1.26873534280926	8.10995938705843	6.1783642592259e-07	1.63066838399446e-06	6.37325519608594
Arid4b	94246	0.469124964326171	6.05932413466855	8.23081249561197	6.18175501900653e-07	1.6312685421429e-06	4.78945199940976
Zfp516	329003	0.388802660508267	5.73369685163843	8.10864993141491	6.19096174538534e-07	1.63340294893602e-06	4.78939795462202
Man2b2	17160	0.378237339017578	4.96909243190903	8.10258770426278	6.24963566672485e-07	1.64799022473701e-06	4.88743414142958
Utp14b	195434	0.678680925675514	3.73670192723254	8.11472444203554	6.27968086454614e-07	1.65501657718443e-06	5.15096005951519
Zdhhc6	66980	0.277037271686126	6.46761416361087	8.09800974504127	6.29433120469587e-07	1.6585784155834e-06	4.70142678490056
Gm8909	667977	3.77571966686501	-3.17978597838068	8.08351192948787	6.43810685620914e-07	1.6937137741677e-06	6.33611838086672
Dhx8	217207	0.294529324300587	6.47659476937399	8.07711664124582	6.50262277859461e-07	1.70945479309131e-06	4.66410931767092
Srrm1	51796	0.272509423186474	8.19741316948543	8.07569142050743	6.51709284678723e-07	1.71295047903859e-06	4.56915572919067
Pcsk7	18554	0.368754153849384	4.73387923462651	8.07520485180625	6.52204065813643e-07	1.71394253063585e-06	4.89257504444038
G530011O06Rik	654820	4.44205558041743	-2.23135818430606	8.29733100053185	6.5444245061417e-07	1.71951545847645e-06	6.37692134117409
Myb	17863	2.95538706933914	-1.78141244742335	8.07061887063899	6.5688689582222e-07	1.72562769790995e-06	6.34850382513794
Rps6ka4	56613	0.314552079297146	7.78282460040113	8.06726374552986	6.60335255180146e-07	1.73437452565388e-06	4.57366769734333
Klhl2	77113	0.302660642365702	5.81078293687781	8.06699273023927	6.60614630948055e-07	1.73479635016672e-06	4.71091178960333
Spop	20747	0.264406947669531	7.52685510463029	8.06678150330463	6.60832460116602e-07	1.73505642862899e-06	4.58420063495453
Slc35b4	58246	0.300168033387117	6.03580493831136	8.06542057575052	6.62237737118146e-07	1.73843357087484e-06	4.68634538652942
Rundc3b	242819	1.66737893681298	-0.45744892997024	8.06181692155486	6.65974018131693e-07	1.74761345828809e-06	6.16195283992492
Stard3	59045	0.413910134204015	4.51638161120327	8.0616628649589	6.66134237563932e-07	1.74771989830408e-06	4.90969281787506
Rasl12	70784	2.93708708665079	-2.51628021529792	8.05303502067253	6.75172216631377e-07	1.76952546135257e-06	6.32064285694118
Dnajc25	72429	0.380242240247477	4.58099624684628	8.05138517921805	6.76915116517946e-07	1.77377506133138e-06	4.87781813547721
Apeh	235606	0.368585283178063	5.38897940491851	8.04941798772709	6.78999449234461e-07	1.7789176601827e-06	4.73323130750515
Glis2	83396	0.285801661120119	7.35067917924689	8.04817016118921	6.80325076374804e-07	1.78175149104005e-06	4.56048582930183
Bbip1	100503572	0.342101565384436	5.13512195350934	8.04323295146664	6.85596848997125e-07	1.79523620947508e-06	4.76357998859695
Ddx25	30959	4.22934692848886	-3.49902159885914	8.04160384372314	6.87345757784506e-07	1.79917063408611e-06	6.2707378977909
Mkrn3	22652	1.58102762845956	-0.137319772013393	8.0413653594738	6.87602172844398e-07	1.79951932208659e-06	6.10235919224577
Hdlbp	110611	0.242277042274663	9.98604741345867	8.04102455621178	6.87968774440049e-07	1.8001562019834e-06	4.44957567457718
Cfap43	100048534	0.32167936059125	5.67158477162963	8.04016794265886	6.88891139865127e-07	1.80192406677472e-06	4.68972109644786
Lin28b	380669	1.83186046854619	0.319886338022566	8.03775497156949	6.91496319504217e-07	1.80841454658525e-06	6.0053310438522
Gm15473	100504308	2.56946362929244	-1.72449898880154	8.03312313239435	6.96526172379536e-07	1.82091664109102e-06	6.29061973695937
Nit2	52633	0.38035141881385	4.6183033026609	8.03283347411314	6.96841995820409e-07	1.82141628327718e-06	4.82876078072436
Sec22a	317717	0.365873807595253	4.6729232834662	8.0322488820598	6.97479853226367e-07	1.82275733337347e-06	4.83092053311253
Rab3gap2	98732	0.281490639170159	6.24712688916841	8.03187014884167	6.97893422420266e-07	1.82351186545088e-06	4.60987640530108
Rars2	109093	0.349788871611201	4.64364570423206	8.02735146988509	7.02847660296426e-07	1.83547164782578e-06	4.82084387306833
1700034H15Rik	98736	2.8954101024316	-1.55505634716414	8.02214290317176	7.08604178316733e-07	1.85017386994891e-06	6.25177624203167
Wipf2	68524	0.331122424439695	5.49966230229334	8.02137819678778	7.09453495902411e-07	1.85206036839153e-06	4.67299991972152
BC051019	57355	3.08177708765291	-2.34333546617983	8.01873769137342	7.1239439544957e-07	1.85907317133043e-06	6.25480610864618
Pappa2	23850	5.13509096242052	-1.86452037846087	8.65838827035977	7.13419801292604e-07	1.86141650905319e-06	6.32929364953636
