genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Loxl4	67573	-4.02237763440263	5.1541214413011	-67.437907908087	2.05409635456282e-20	1.07150469124088e-17	37.1736818821822
Fgfr1	14182	-3.033757423334	6.01035223977486	-67.0004629373064	2.26928195899891e-20	1.1048377431046e-17	37.1497690976328
Ccnd2	12444	4.41479067545935	6.52866336518615	71.2426348246746	2.36422433966936e-20	1.11393099049066e-17	37.1254456915099
Gpc1	14733	-3.24423931285979	7.16255603895577	-66.3506774093497	2.63438712498816e-20	1.16599570750234e-17	36.9919056751539
Acta2	11475	3.12325395332422	7.87567166116343	64.9729134979993	3.63219791471973e-20	1.56034949242342e-17	36.653452799177
Prrx1	18933	-2.99738601869364	6.67378711036434	-64.7422433030244	3.83539580164793e-20	1.60056545939627e-17	36.6201585336103
Ppl	19041	6.36031244535642	4.6146160371485	67.5506241719765	2.00224510482924e-20	1.07150469124088e-17	36.6183763893733
Adcy7	11513	-3.04670669921213	5.66877980048463	-64.5924948104493	3.97376587427908e-20	1.61224512110334e-17	36.5895003273334
Epb41l4a	13824	5.06317186978507	4.23072605675404	66.3831340461243	2.61473912222578e-20	1.16599570750234e-17	36.4954056917391
Gm8730	667618	-6.67564518126129	4.3003686628049	-68.6446755369276	1.56563319738402e-20	1.03943811277232e-17	36.4582628621228
Col18a1	12822	-3.47365278341496	5.51628547644067	-63.8540440216624	4.7383470694296e-20	1.82127098147602e-17	36.4099194101776
Adgra2	78560	-2.95559920346513	7.39505779275998	-63.700443231176	4.91624727532325e-20	1.84119763341978e-17	36.352838691841
Ppp2r5b	225849	2.32977919865615	6.53706944849372	63.265899366611	5.4591657016452e-20	1.99341435595574e-17	36.2614176917031
Rasa3	19414	-2.27791761598206	6.66368707947291	-63.0550353417367	5.74531203608583e-20	2.04673238046511e-17	36.2057808958037
Cyp1b1	13078	7.74459614787004	4.90881200591666	67.7275732834899	1.92363750548783e-20	1.07150469124088e-17	36.1412319298282
Il1rl1	17082	-8.83793162158166	4.76560589769208	-72.7171682618229	6.47721632184899e-21	5.91288884980789e-18	36.0890432684478
Gm9625	674597	-5.75469939042837	4.55321295382315	-64.0130097297148	4.56143136194137e-20	1.80065585060853e-17	36.0620086970572
Myo1d	338367	2.77313077878862	6.00698380229758	61.0719040619286	9.36826845121866e-20	3.17355141757057e-17	35.7289359012428
Nes	18008	-1.91003621486094	8.55538878149099	-61.1880684421993	9.09983416104184e-20	3.16457566086136e-17	35.6975035180727
Tns1	21961	2.32822537612653	6.49977281967323	60.8370343459536	9.93711148714257e-20	3.22536556402676e-17	35.6538851032722
Ndrg3	29812	-2.08637248986347	6.7500489349467	-60.7436568613479	1.01733872767763e-19	3.23027162096945e-17	35.6219136256327
Fam83d	71878	-2.11958068003345	6.40556604829191	-60.182381285006	1.1725690513666e-19	3.64394543920436e-17	35.4850482003478
Tti1	75425	-2.17954521365639	5.94397173847166	-59.8868409002227	1.26427651085908e-19	3.84708806616828e-17	35.4229472923703
Nr2f2	11819	-2.02663359734673	6.59207125220779	-59.2162314392206	1.50192237137993e-19	4.23324998068903e-17	35.2287098915631
Oaf	102644	-4.29446014079959	4.98187163281258	-59.0410946654656	1.57152789922438e-19	4.25069194371691e-17	35.1822421890308
Tspan9	109246	-1.93759515680332	8.38375680457973	-59.098474886296	1.5483520638147e-19	4.25069194371691e-17	35.1554061177145
Slc9a3r1	26941	2.52604667086757	7.77178600419282	58.7952133276379	1.67510462619841e-19	4.448468758228e-17	35.0886016285778
Adamts1	11504	3.23513749017695	6.4780966837018	58.5111453146598	1.80389104788095e-19	4.7049344009552e-17	35.0566174336957
Pkp1	18772	-2.42505421570779	5.95501409537241	-58.3991929236683	1.85750740039781e-19	4.75978124389657e-17	35.0348374318221
Sox9	20682	-4.61209740061582	4.03196779816206	-59.2028743995436	1.50711350811878e-19	4.23324998068903e-17	34.9715488337114
Shroom3	27428	4.54685608303431	3.89752277789101	59.2316668087628	1.49594720785194e-19	4.23324998068903e-17	34.9429691473243
Spon2	100689	-3.05055566854261	5.5460326221827	-57.8404849114533	2.15166998076666e-19	5.23788195651297e-17	34.9015245327945
H19	14955	-3.71682067961613	5.02630847379254	-57.545746989689	2.32649948777659e-19	5.48078250297821e-17	34.8180905500591
Pawr	114774	3.91745472531637	4.05867656977211	57.9297921509074	2.10149967644099e-19	5.20245835154188e-17	34.7668909384888
Rpn2	20014	-1.93777446639141	9.36359541717203	-57.6311274669693	2.27434905550236e-19	5.44576103355204e-17	34.7405726994277
