genes	logFC	AveExpr	t	P.Value	adj.P.Val
Atp6v0c	0.652063253875569	5.33091749153261	1.25862767875385	0.114874280761794	0.346103807613655
Nckap5los	1.0593850272612	-1.10004158003629	1.26045632570182	0.114912815054417	0.346153300908439
Zfp358	-0.651147240868499	4.8330921987482	-1.25754792090159	0.115063500941351	0.346540545824134
Gm4117	-1.0194955298284	-0.751219731948591	-1.25688203272802	0.115396472010593	0.347476530527283
Cdkn2c	0.631243573713856	6.39210011004617	1.25480918678322	0.115544553870404	0.347855532494287
Gm2065	1.08143050032616	-2.04236599865774	1.25272845157934	0.116399127279311	0.350353565048886
Khk	-0.710034935940308	2.03130068584491	-1.24985352484429	0.116419057283775	0.350353565048886
Gm20517	0.916423811361958	-0.901133898659483	1.24659165215433	0.117033698411853	0.352135597565872
Noxred1	1.06938352563352	-1.78920717924971	1.24827410687283	0.117136110739979	0.352376027275043
Rnh1	-0.639560881063034	7.54376584366445	-1.24559745530339	0.117174273241938	0.352423121479497
Gm12205	0.984776386226849	-2.15823165200107	1.2435639416089	0.117675482033009	0.353862626785645
Ccdc40	1.07821034913201	-2.05156149069921	1.2439442736411	0.117966341625354	0.354669158442742
4933408B17Rik	0.924844128411024	-1.37180561972798	1.24081276926617	0.118073517584561	0.354923236386842
Cast	-0.630643826368797	7.14999770334013	-1.24035294946626	0.118110202557637	0.354965364999516
D730003I15Rik	0.735338153401358	0.987688748640249	1.23959814552084	0.118245414313639	0.355303530478403
Gm43338	0.898881159386866	-1.57427791129663	1.2386785989562	0.118435660825625	0.355806902764319
Gm8451	-0.967680349353546	-2.00270005872519	-1.23837439039655	0.118572527627553	0.356149748243281
AC155937.1	1.17652368643577	-1.89284343596244	1.24432357484824	0.118670118602336	0.356374514207014
Pdcd6ip	-0.633353788329405	8.21733843667977	-1.23605484331163	0.118881626383532	0.356941228363058
Gm7153	0.857265586326309	-0.439520564115315	1.23391010287947	0.119276415894143	0.358057921792656
Gm9821	0.937718658805272	-1.19155108673158	1.23392708209701	0.119327984022175	0.358120745221676
K230010J24Rik	-0.764905931455195	0.432099871691889	-1.23349523097418	0.119343086509561	0.358120745221676
Fgf21	-0.786121565521798	1.36185006454492	-1.23266401205203	0.119493552004287	0.358503551884101
9230111E07Rik	0.835448233524016	-0.569597285666369	1.23237671923229	0.119549059257229	0.358601373534423
Lrrn3	-0.999786019585099	-2.14162444522352	-1.23269424658157	0.1196781695763	0.35891446573408
Gm12953	0.957139630756092	-0.837389419326472	1.23203831290485	0.119699280882831	0.35891446573408
Serpinb9b	-0.642816039121089	4.93829375094979	-1.23019507969018	0.119939722598424	0.359566566426597
Praf2	-0.653886760238156	5.16784862568893	-1.22895697993686	0.12016423080785	0.360170659645735
Mfsd2b	-0.847206792855516	-0.254445591707048	-1.22656567190681	0.12060526097576	0.361423383035111
Gm43445	1.12171504650517	-1.70914769585245	1.22921494671405	0.120975591671358	0.362463799156165
Rabl2	0.647825446861619	4.21115883010387	1.22414210130532	0.121040466783612	0.362588794508857
Gm16755	0.818887884775361	-0.0652556131507143	1.22390827869197	0.121085567614324	0.362654517541141
Ccdc62	0.832575998465778	-0.256662399364335	1.22324902769609	0.121207589255811	0.362950551265535
Snap47	0.639815930652652	5.96047027339562	1.22246301392828	0.121347212050687	0.363269964179417
5430416N02Rik	0.666479114361477	3.96606294983584	1.2223894888538	0.121360657978192	0.363269964179417
Nr1i3	1.08509203382291	-2.29595603558508	1.22446691388873	0.121589307237285	0.363884818945223
Sp3os	0.75423866348895	1.00291574409467	1.21831836453581	0.122107100341972	0.365364604845135
Plpp2	-0.633492968734443	6.65562209725813	-1.21794546050939	0.122175530679648	0.365499514593413
Atad1	0.627317333814687	7.21500533049013	1.21718983569961	0.122314509968465	0.365845386262889
Xrn1	-0.690423719626477	5.78346161474062	-1.21551752082908	0.122622533309437	0.366696643727878
Mpp6	-0.62784312494489	6.6783265732605	-1.20933713444371	0.123766161520373	0.37004593413901
Ptges	-1.12346331495063	-2.02681496975179	-1.21325593377452	0.124001752723808	0.370679542602022
Flt3l	-0.812051042912543	0.546494984181413	-1.20569613821572	0.124445962539198	0.371936415621065
Stn1	-0.632374223782326	5.41234988694331	-1.20468506676395	0.124632468415008	0.372422746267596
Armc1	-0.633109727826268	6.32466954990723	-1.20178871492097	0.125174209601463	0.373955643929756
Zfp507	-0.681439856796305	5.19275926545798	-1.20168724114001	0.125193222983764	0.373955643929756
Gm9762	-0.840259801631018	0.236435769429329	-1.19887007813486	0.125728503117858	0.375482910894416
Rorb	0.931757173940871	-0.770272084383884	1.19909255583549	0.125752928325019	0.375484239457121
Kcnk7	-1.07106669612314	-2.02936915012185	-1.20158453142359	0.125815179850418	0.375598491153068
Map3k1	-0.713967446781459	3.93431905177765	-1.1971861100503	0.126038870332923	0.376194554264756
Impact	0.626520547284201	5.72221572310726	1.19550647163085	0.126355556903049	0.377067907373346
AC164565.1	-1.00407336590354	-1.74390250526298	-1.19391815956908	0.126922582986745	0.378687843827448
A530072M11Rik	0.992581278729553	-1.7931989722324	1.19044966620475	0.127542748272716	0.380465679644538
4921514A10Rik	0.844637442451034	-0.562810996407859	1.18836468938411	0.127717316277984	0.380913854910604
Gabrb1	0.935061944192492	-1.54303393855346	1.18629378394069	0.128189522512364	0.38224938935414
Itgb4	0.743214169716423	0.506940444196461	1.18494236330186	0.12836167333534	0.382689847883616
Frg2f1	0.750857119646162	0.739157487087847	1.18437437348179	0.128470274093493	0.382940710404705
Sh3kbp1	-0.627144499650415	7.48522287844301	-1.18019989826425	0.129270137153768	0.385251581186467
Mylpf	0.845701414795214	-0.141323843044018	1.17636367810263	0.130018209887355	0.387407256025918
Zfp865	-0.648356763013806	4.6948790534344	-1.17030273567262	0.131182190724843	0.390801130587823
Hist1h2be	-1.07120285591333	-1.70987783731056	-1.16518277482086	0.132944516971644	0.395975888670725
Ciart	-0.695786558911603	3.12723857358034	-1.16045306259999	0.133106627838163	0.396336761633501
Gm20636	0.938797791799378	-1.97349435811563	1.16097661211323	0.133116300257413	0.396336761633501
