genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
9930012K11Rik	-0.211209494318882	4.42334551760689	-3.59203566837278	0.00249881865147436	0.00395696828931892	-3.57221706981686
Sfpq	-0.108683062000281	9.17446721037045	-3.71582723409466	0.00192788036596509	0.0031046745624068	-3.74032366578761
Sema3f	-0.156600237979098	5.60879400355563	-3.58063429741962	0.00255925607057445	0.00404694319865227	-3.8025658541633
Gps1	-0.135021712547067	7.25529213623272	-3.62188963484295	0.00234725029621266	0.0037316727726772	-3.85467328487122
Zfp207	-0.118518548175221	8.30402633107545	-3.58528768096256	0.00253441424082513	0.00401053436644959	-3.98165917416582
Capn2	-0.121431522381187	8.76435342991364	-3.58918048489562	0.00251381823431882	0.00397911098998828	-3.99154317549801
Hist1h4h	-0.867600696349959	-2.46571880196092	-2.40733530669505	0.0287351845027037	0.0390264133006622	-3.99920297216891
Ddx23	-0.126415603435404	7.81245341961092	-3.53153296415015	0.0028367001334214	0.00444882318600885	-4.07267237537471
Ppp1r9b	-0.129702188913319	6.59901653700007	-3.46994133443768	0.00322759108985461	0.00501763515537564	-4.1298034537689
Eif4h	-0.103917087636413	9.18354067565569	-3.52137747050295	0.00289773315728768	0.00453817821332372	-4.14901067878043
Dusp12	-0.178366424677528	4.19729946058234	-3.25258354605324	0.00508719910203091	0.00770435859750459	-4.23063347357075
Pank4	-0.145740992462959	5.56406679083385	-3.3650291789855	0.00402091618689942	0.00616524732221613	-4.24633815240101
Mast2	-0.103499039876353	7.92022378476827	-3.36136128086949	0.00405191268921476	0.00620851833718805	-4.43372153545096
Rrp9	-0.197464258866727	6.18681534001192	-3.33546043112197	0.00477096713033601	0.00725279643949527	-4.44423588229729
Srsf2	-0.108616515185417	8.66606421577992	-3.36987417860419	0.00398033324282392	0.00610601135653346	-4.44567223258104
Xpo5	-0.114316240333097	7.75203623709985	-3.34134515377973	0.00422529389516779	0.00645648988099319	-4.46668901956896
Cdv3	-0.10249071149202	8.15065113170477	-3.32256219330855	0.00439468568218984	0.00670290165709415	-4.52363898940476
Ncam1	-0.139230233373932	6.62085995845087	-3.27806134234939	0.00482337418686022	0.00732819648921573	-4.53022765979838
Snhg4	-0.144296347592618	5.02405947791763	-3.15820851009789	0.00619482116003144	0.00926566397890054	-4.58220325909942
Ehbp1l1	-0.126847903015432	7.5700576279207	-3.21071706686012	0.0055520761573763	0.00836068556185786	-4.72645108344438
A930004D18Rik	-0.196549393439668	3.47700719022984	-2.89008330764673	0.0108036303030928	0.0156213171378546	-4.7889902334541
Slc25a13	-0.134783539797833	5.75127450788172	-3.03530019429833	0.00799981029808034	0.0117721742372505	-4.94861908450661
Ppm1f	-0.100290805129599	6.88276528956549	-3.08073721074619	0.0072791709254207	0.0107667918335762	-4.95417027556746
Mylk	-0.196489665747348	2.94054691934892	-2.64169455988341	0.0179574002166405	0.0251589989792552	-5.13539752357244
Nup37	-0.131442419854012	5.83200012043327	-2.88596421962184	0.0108957572108246	0.0157487091670905	-5.26300906429372
Farsb	-0.105694316641404	6.9053034186823	-2.91965539863001	0.0101641458241333	0.0147484195453877	-5.2839429087964
Cdc34	-0.163602158818312	6.40425844140972	-2.8851706532637	0.0114738540143891	0.0165400116145558	-5.3442160664544
Phb2	-0.124262019998524	8.14908770289413	-2.92141000626072	0.0101273855330771	0.0147005286619933	-5.34512078574492
Gadd45g	-0.174155488185719	4.99256155602287	-2.78089711134612	0.0135433489906763	0.0192853545376509	-5.34810622106942
Hmgb1	-0.121376540488586	7.81940472537881	-2.85180677220426	0.0116897471818275	0.0168264443255244	-5.47148087422261
Lyar	-0.126187742417953	7.21598546209416	-2.83104864278479	0.0121994487130374	0.0174989893687009	-5.48139051288812
Rcor2	-0.116141497583221	5.44507207631404	-2.74654246718674	0.0145060366825992	0.020579462025563	-5.49486710632511
Arpc5	-0.105895589149711	7.11046717840847	-2.7913408026433	0.013235197838712	0.0188774574383815	-5.55243737780161
Rpl3	-0.11087216976089	9.69033838278926	-2.84231242400314	0.0119202541097087	0.0171330401000384	-5.56237448269346
Ranbp3	-0.129960834632259	7.41421444528561	-2.78888256642356	0.0133020466099096	0.0189676209651183	-5.57508781351012
Cse1l	-0.103455050509119	8.342012703128	-2.80621688956218	0.0128375508980166	0.0183537593098196	-5.58396076355061
Traf3	-0.121162595494288	6.4387387458757	-2.74356281182315	0.014594623852799	0.0206920156000657	-5.59932307979456
Usp15	-0.0901519206442112	7.34295913480405	-2.74437264950256	0.0145704952506953	0.0206601034939671	-5.66004682107939
