genes	logFC	AveExpr	t	P.Value	adj.P.Val
Rasa3	-2.28657231172577	6.6636870794721	-36.5348677844742	4.59784596629253e-15	8.18103092502369e-13
Scrn1	3.41453033820401	3.35390728104118	36.2001487811306	5.19418565752202e-15	9.13826505904267e-13
Irgm1	2.68781734563267	4.70865901065414	36.1391886006845	5.30954437515514e-15	9.15660186379949e-13
Adamts1	3.06592382217728	6.47809668370099	36.1332608916053	5.32156577855252e-15	9.15660186379949e-13
Pfkfb3	3.83267468983924	3.98580548155762	36.0928572983822	5.4046668667284e-15	9.1985080216558e-13
Ackr3	-5.01966984428997	3.09525649638033	-35.8705119557287	5.88729251505764e-15	9.91217486029813e-13
Shroom2	3.84114183377479	4.49738712865743	35.8012059196255	6.01626221747712e-15	1.00215567873677e-12
Fam84b	3.44946879927237	4.38493803198344	35.7107544982864	6.21766827337298e-15	1.02480262973131e-12
Crlf1	-3.85440763933011	3.04566521564319	-35.6487091311929	6.36539484917987e-15	1.03822242237977e-12
Tmem171	-3.65186962553379	3.21910950307883	-35.4818619334968	6.77030884348409e-15	1.0826969376425e-12
S100a7a	-4.34048924457592	3.35449226981376	-35.4832483679412	6.776363513154e-15	1.0826969376425e-12
Krt14	10.6721476370577	3.49160720976304	35.5499689228233	7.14595809455799e-15	1.13021628125848e-12
Foxo6	3.55973221724885	4.36497412353848	35.3093551761018	7.21966389936398e-15	1.13045497336241e-12
Fam129a	6.52034405193856	2.94042563434415	35.2802573886457	7.41694981082539e-15	1.14984752611786e-12
Ahcy	-2.2786759850069	7.09877378287034	-35.0449336737097	7.96936786075771e-15	1.21729580966309e-12
Loxl1	-2.55939702960069	6.75703860735367	-35.0323032531916	8.00750213279461e-15	1.21729580966309e-12
Zcchc3	3.11327729523328	4.25697477878248	34.9476723233765	8.26843068478489e-15	1.24487584290732e-12
Man2a2	-2.39680556658412	6.49891345513585	-34.9029850461194	8.40814567347423e-15	1.25385471385961e-12
Gata4	4.0076761511948	3.64622638901428	34.8588157359198	8.55978661365119e-15	1.25579019540921e-12
Adgrg2	7.35646000442889	2.76061030050144	34.9157489800208	8.59158550766371e-15	1.25579019540921e-12
Nptxr	-2.72501656751426	5.08991048641037	-34.8246032655062	8.6617282605821e-15	1.25579019540921e-12
Fbln5	3.68800978444789	4.43069537823618	34.5551473211062	9.60279118124596e-15	1.37945416803623e-12
Smad6	3.52680488485956	3.81134293367498	34.4472735423737	1.00055425018106e-14	1.4242434953941e-12
Pkp1	-2.40908260204628	5.9550140953716	-34.2762447585871	1.06803472788276e-14	1.50660250172867e-12
Tmcc3	-4.31825622188841	3.29202340790374	-33.9862481008968	1.19707128657946e-14	1.67354841118403e-12
Edn2	6.52029067127747	2.30502702381831	33.8712085793641	1.27032790552829e-14	1.76024728714708e-12
Pdgfrb	-3.39042045555535	4.51333132770488	-33.7144200028991	1.32873165396488e-14	1.82502458226158e-12
Baiap2l1	7.8972646608649	2.12079168232107	33.7020399477168	1.3807874646997e-14	1.88003218454504e-12
