genes	logFC	AveExpr	t	P.Value	adj.P.Val
B4galt4	6.07287813755607	3.04284496259012	44.9925210167917	2.95572347210967e-16	1.12879800308032e-13
Cdh3	8.6507279697033	3.95307939598073	44.8848459551325	3.152809794022e-16	1.15669183291222e-13
Oaf	-4.30349801316907	4.98187163281176	-44.708275137072	3.18220102895679e-16	1.15669183291222e-13
Sema7a	-6.17156870808944	3.4321066201016	-44.6741688444217	3.25037940018762e-16	1.15669183291222e-13
Adcy7	-3.05595170978177	5.66877980048382	-44.3010375669301	3.58633498491015e-16	1.24788518208274e-13
Apbb1ip	-6.1609745733623	2.89304262436948	-44.1371141667455	3.81519448423763e-16	1.29865902683028e-13
Pawr	3.90823017953713	4.05867656977129	43.8929732750628	4.05769429172367e-16	1.35181653659168e-13
Rbl1	-2.79421896135796	7.1057751068852	-43.7603853855892	4.21985383360265e-16	1.3765514859698e-13
Slco3a1	-3.76081953912998	3.6959345370359	-43.3868432373772	4.73070544969572e-16	1.51170175370072e-13
Acta2	3.11400663856525	7.87567166116261	43.2500163330438	4.93007559489679e-16	1.54390247329788e-13
Daam2	8.27097924983419	2.92930127221235	42.9428264783649	5.63320420800137e-16	1.72950414684089e-13
Cavin2	-2.402911323722	7.35372460662958	-42.536714062029	6.14445156474756e-16	1.82512342095886e-13
Prrx1	-3.00667488481513	6.67378711036353	-42.5196559059044	6.17777119113676e-16	1.82512342095886e-13
Adgra2	-2.96483621166482	7.39505779275916	-42.001736805543	7.26656758624675e-16	2.09662756689267e-13
H19	-3.72593406410506	5.02630847379173	-41.9102518108871	7.48383709750143e-16	2.09662756689267e-13
Nr2f1	-5.31540390191813	3.05768867831825	-41.922079917783	7.49847641754948e-16	2.09662756689267e-13
Timp3	3.59780054329794	7.63127558635523	41.6406596764459	8.15029818634184e-16	2.23890121055685e-13
Slc38a4	-6.20404353880057	2.94713317805763	-41.1073037552216	9.79175848289533e-16	2.6434371435375e-13
2900097C17Rik	-2.41812940869599	7.38054450145524	-40.7498439453329	1.0847142954189e-15	2.87872143011341e-13
Tspan7	5.04701462757472	3.03255916085062	40.6010951836496	1.14403372495267e-15	2.91437144779768e-13
Rprd1b	-2.44159569248372	7.00689016346351	-40.5838757390412	1.14493546408447e-15	2.91437144779768e-13
Lrrk2	-4.39877414405366	4.33942646365715	-40.5662985182204	1.15398537337754e-15	2.91437144779768e-13
Sv2a	4.8575997145418	3.25203235943961	40.5076373931769	1.17837708542557e-15	2.92873466723708e-13
Src	-2.32292854564624	7.76971213034416	-40.3094609494968	1.25252038267535e-15	3.06436939873915e-13
Hmga1-rs1	-4.62502617046372	4.02683258632171	-40.2632557579756	1.27540844028488e-15	3.07236082430472e-13
Gjb3	3.92139910876694	4.58752118031617	40.192937915905	1.30272276946795e-15	3.0906110794438e-13
Gm2115	-3.35419691802328	4.34986545255986	-39.9709737498804	1.4008160222332e-15	3.27372795166081e-13
Uchl1	3.77783489324937	4.76101996027314	39.9032675190749	1.43326585033839e-15	3.3003053947939e-13
Pear1	-3.44767349237548	5.92487883832415	-39.2727795355927	1.76885610810824e-15	4.01402158561721e-13
Myo1d	2.76390476518696	6.00698380229677	39.0491315748164	1.90709099560875e-15	4.20016206947726e-13
Adamts1	3.22591068784985	6.47809668370099	39.0164551733519	1.92863717412998e-15	4.20016206947726e-13
Maf	3.47918066503393	4.51393320969241	39.0128550836916	1.93135565846445e-15	4.20016206947726e-13
Spon2	-3.05975245869949	5.54603262218189	-38.9028680248578	2.00432472926611e-15	4.27497270315007e-13
Adam12	-4.35070506280586	3.24637617843174	-38.8733974859075	2.02834064716973e-15	4.27497270315007e-13
Foxo6	3.80972873508516	4.36497412353848	38.8419966136592	2.04766223487198e-15	4.27497270315007e-13
Gm3608	-5.27355468428418	2.98460427881645	-38.3592957619849	2.42894368300424e-15	5.00426318269479e-13
Mecom	-2.91658676185498	4.47448559036215	-38.2579351364208	2.50025428041772e-15	5.08428331464683e-13
Klra4	-4.99492617500942	3.34124070235511	-38.1273825093607	2.62770806370005e-15	5.27495549505325e-13
Sulf1	6.65117956774467	3.30878669289564	37.7858180275116	2.99938439252423e-15	5.94485579976511e-13
Fam84b	3.55151640822696	4.38493803198344	37.2484309903268	3.56220558121928e-15	6.94045541237774e-13
Crlf1	-4.22477023518142	3.04566521564319	-37.2204117079311	3.60213422477875e-15	6.94045541237774e-13
