	log2FC	t.value
Dync1h1	0.129047443547035	1.02907248381678
Fyco1	0.146700656300816	2.18908406683559
Gga1	-0.0433993217950359	-1.14641666659777
Gga2	0.118551568715621	3.67446718947607
Gga3	-0.129745661088274	-3.61130885631917
Git1	-0.167943397633495	-3.92664109721767
Git2	-0.0205703362640559	-0.58419319981143
Gnptab	-0.0949657273359525	-2.34734082575145
Golim4	0.0636297100947125	1.32682359158432
Hgs	0.0619095594220216	1.46896045379789
Inpp1	0.181970980477162	3.09581968287673
Inpp4a	0.0935178255122273	1.64603572626902
Inpp4b	0.8984063681679	2.76157530711158
Inpp5e	-0.0035200334155725	-0.0634336849863383
Inpp5k	0.15367185368531	3.23472702724647
Iqsec1	-0.113024098604907	-2.55402728402149
Iqsec2	0.129168129925982	2.71386855219364
Itsn1	0.017291244482462	0.472515611914099
Kif16b	0.147928080395809	2.85292168993764
Krt18	0.357937327233299	6.93237142662746
Laptm4a	0.00716307841091535	0.206789723306519
Laptm4b	0.100629737975392	2.8155691086556
Lyst	0.165724365723174	1.28314342862698
M6pr	-0.0284005896600217	-0.872560701078042
Mtm1	0.350717278226023	5.12178360755176
Mtmr2	-0.0115531574657108	-0.310356287565095
Mvb12a	-0.00457316990143308	-0.0791881625985239
Mvb12b	0.0456990729532558	1.07227917077948
Myo5a	0.0375362426489376	0.440528761370771
Myo5b	0.144858707913581	1.31480776066226
Nagpa	-0.0684500305445326	-1.32487046059541
Nedd4	-0.0387659491102728	-0.864632070273858
Osbpl1a	0.0672254418276799	1.16760947411725
Osbpl5	-0.116047644430882	-2.81621410053615
Pik3c2a	0.191824048062053	1.15685158721299
Pik3c2b	-0.170146931774165	-1.05687433665507
Pikfyve	0.107952556224762	1.85748208536014
Pitpnb	-0.0228170823554317	-0.586948750810328
Pitpnm1	-0.00919398511742031	-0.227914148340764
Plekha8	0.0942138113598583	1.89927457866202
Prkci	0.00525281583714232	0.129686239004782
Psd3	0.0511950651145656	0.618824188652616
Rab10	0.00452075208744507	0.105013140085465
Rab11a	0.102466462804498	2.85826041108605
Rab11b	-0.0443234534675101	-1.22952761792375
Rab11fip1	0.158466135541625	3.64934725021135
Rab11fip2	-0.044233499129426	-0.484964649570261
Rab11fip4	0.0746589632968072	0.38012356956153
Rab11fip5	0.174110472902046	4.4273199323764
Rab12	0.00665605159151195	0.169518445706428
Rab13	0.246894052557908	4.23935072890941
Rab14	-0.0227167109459563	-0.50111961422548
Rab15	0.00233148447074139	0.0163848049537499
Rab18	0.180580128321443	4.87048074337134
Rab21	0.0835572371708873	2.22942386520633
Rab25	0.230051249425845	0.572610832481891
Rab27a	-0.0225624877642079	-0.0847753354355893
Rab31	-0.01756777793734	-0.464989827237071
Rab35	-0.0581527277869522	-1.52641398435703
Rab3a	0.449975736659719	4.66820032388505
Rab3d	0.291206627290055	4.66589173011263
Rab3ip	-0.0610775734139226	-1.31008844809607
Rab40b	0.471902540387057	2.89962379948046
